unix_timestamp,bid,ask,mid
1758634052.1456518,1.0032,1.0036,1.003400
1758634320.3452718,1.0032,1.0036,1.003400
1758634618.2116022,1.0032,1.0036,1.003400
1758634626.4450812,1.0032,1.0036,1.003400
1758634737.7682247,1.0032,1.0036,1.003400
1758634839.0407946,1.0031,1.0036,1.003350
1758634942.053056,1.0031,1.0036,1.003350
1758634962.2448468,1.0031,1.0036,1.003350
1758635000.6531172,1.0032,1.0036,1.003400
1758635015.4071698,1.0032,1.0036,1.003400
1758635042.0222297,1.0032,1.0036,1.003400
1758635057.2105577,1.0032,1.0037,1.003450
1758635087.4701145,1.0032,1.0037,1.003450
1758635102.7710164,1.0032,1.0037,1.003450
1758635105.3231862,1.0032,1.0037,1.003450
1758635113.8154688,1.0036,1.0037,1.003650
1758635156.4990146,1.0036,1.0037,1.003650
1758635172.5587585,1.0036,1.0037,1.003650
1758635179.8538928,1.0036,1.0037,1.003650
1758635188.0198236,1.0036,1.0037,1.003650
1758635195.315777,1.0036,1.004,1.003800
1758635196.0744205,1.0037,1.004,1.003850
1758635197.047536,1.0036,1.004,1.003800
1758635199.3367107,1.0036,1.0043,1.003950
1758635209.4491866,1.0036,1.0043,1.003950
1758635382.4692345,1.0036,1.0043,1.003950
1758635413.2583342,1.0032,1.0036,1.003400
1758635437.6749742,1.0032,1.0036,1.003400
1758635449.1328583,1.0032,1.0036,1.003400
1758635475.630985,1.0032,1.004,1.003600
1758635490.2886093,1.0032,1.004,1.003600
1758635504.8930874,1.0032,1.004,1.003600
1758635520.3036308,1.0032,1.004,1.003600
1758635553.040226,1.0032,1.004,1.003600
1758635559.7185264,1.0032,1.0037,1.003450
1758635568.1432216,1.0031,1.0036,1.003350
1758635577.8963625,1.0028,1.0036,1.003200
1758635586.427604,1.0026,1.0032,1.002900
1758635611.1811748,1.0025,1.0032,1.002850
1758635622.3335366,1.0024,1.0028,1.002600
1758635779.8886187,1.0013,1.0021,1.001700
1758635782.58211,1.0017,1.0021,1.001900
1758635785.439949,1.0017,1.0024,1.002050
1758635791.6355507,1.0021,1.0026,1.002350
1758635793.5783095,1.0021,1.0028,1.002450
1758635795.8745234,1.0025,1.003,1.002750
1758635799.306588,1.0025,1.003,1.002750
1758635835.1080017,1.0032,1.004,1.003600
1758635896.8424432,1.0032,1.0036,1.003400
1758635901.4789133,1.0031,1.0036,1.003350
1758635906.8185446,1.0026,1.0032,1.002900
1758635910.8599741,1.0025,1.0032,1.002850
1758635915.010455,1.0021,1.0028,1.002450
1758635930.6186457,1.0021,1.0025,1.002300
1758635939.7644024,1.0021,1.0028,1.002450
1758635941.0028493,1.0019,1.0025,1.002200
1758635946.9089503,1.0019,1.0025,1.002200
1758635951.6846201,1.0017,1.0025,1.002100
1758635952.8631203,1.0021,1.0026,1.002350
1758635956.8789334,1.0017,1.0021,1.001900
1758635961.882559,1.0016,1.0021,1.001850
1758635967.4650285,1.001,1.0017,1.001350
1758635971.4136705,1.001,1.0016,1.001300
1758635976.8092148,1.0009,1.0013,1.001100
1758635981.4390342,1.0008,1.0013,1.001050
1758635988.9134665,1.0008,1.0013,1.001050
1758636005.5014296,1.0002,1.0006,1.000400
1758636009.7006972,1.0001,1.0006,1.000350
1758636015.045428,1.0002,1.0009,1.000550
1758636016.5097446,1.0001,1.0006,1.000350
1758636023.157596,1.0001,1.0006,1.000350
1758636029.0189102,1.0001,1.0006,1.000350
1758636036.1694767,1.0001,1.0006,1.000350
1758636051.4873168,1.0001,1.0006,1.000350
1758636057.4516792,1.0001,1.0006,1.000350
1758636062.5590832,1.0001,1.0006,1.000350
1758636067.482553,1.0001,1.0006,1.000350
1758636076.4648373,1.0001,1.0006,1.000350
1758636083.2423675,1.0001,1.0006,1.000350
1758636089.4884195,1.0001,1.0006,1.000350
1758636094.3918743,1.0001,1.0006,1.000350
1758636103.2434757,1.0001,1.0006,1.000350
1758636111.3006434,1.0001,1.0006,1.000350
1758636143.5779648,1.0001,1.0006,1.000350
1758636154.2942812,1.0001,1.0006,1.000350
1758636205.1550558,1.0001,1.0006,1.000350
1758636211.2336545,1.0013,1.0019,1.001600
1758636216.8258271,1.001,1.0017,1.001350
1758636223.3113997,1.001,1.0016,1.001300
1758636231.5020556,1.0005,1.0009,1.000700
1758636235.8623364,1.0005,1.0009,1.000700
1758636243.5489087,1.0002,1.0009,1.000550
1758636248.3463652,1.001,1.0013,1.001150
1758636255.324781,1.0006,1.0013,1.000950
1758636294.4847844,1.0005,1.0009,1.000700
1758636299.8359811,1.0004,1.0009,1.000650
1758636304.377547,1.001,1.0017,1.001350
1758636315.2620592,1.0005,1.0009,1.000700
1758636322.3358562,1.0005,1.0009,1.000700
1758636327.4321396,1.0002,1.0009,1.000550
1758636350.6379728,1.0002,1.0009,1.000550
1758636452.1260314,1.0005,1.0009,1.000700
1758636541.96734,1.0006,1.0013,1.000950
1758636587.1567101,1.0006,1.0013,1.000950
1758636639.366025,1.0005,1.0009,1.000700
1758636742.809188,1.0006,1.0009,1.000750
1758636749.1668465,1.0005,1.0009,1.000700
1758636819.0811238,1.0005,1.0009,1.000700
1758636841.2384076,1.0006,1.0013,1.000950
1758636921.7433534,1.0009,1.0016,1.001250
1758637017.4623299,1.0009,1.0016,1.001250
1758637032.5063431,1.0006,1.0013,1.000950
1758637074.643364,1.0009,1.0013,1.001100
1758637102.440793,1.0009,1.0013,1.001100
1758637118.695741,1.0006,1.0013,1.000950
1758637180.496473,1.0013,1.0016,1.001450
1758637201.3864236,1.0013,1.0016,1.001450
1758637214.013352,1.0013,1.0016,1.001450
1758637219.138934,1.0006,1.0013,1.000950
1758637237.3999689,1.0006,1.0013,1.000950
1758637246.0667777,1.0009,1.0016,1.001250
1758637266.0144358,1.0009,1.0016,1.001250
1758637378.0090103,1.0009,1.0016,1.001250
1758637390.238081,1.0009,1.0016,1.001250
1758637408.1809597,1.0006,1.0013,1.000950
1758637437.6566179,1.0006,1.0013,1.000950
1758637440.2764437,1.0006,1.0013,1.000950
1758637443.3527634,1.0009,1.0016,1.001250
1758637446.423536,1.0009,1.0016,1.001250
1758637449.8665328,1.0009,1.0016,1.001250
1758637452.8494973,1.0009,1.0016,1.001250
1758637455.99286,1.0006,1.0013,1.000950
1758637459.8730333,1.0005,1.0009,1.000700
1758637463.3916008,1.0005,1.0009,1.000700
1758637466.2251587,1.0004,1.0009,1.000650
1758637469.214419,1.0004,1.0009,1.000650
1758637471.8463645,1.0004,1.0009,1.000650
1758637475.2745848,1.0004,1.0009,1.000650
1758637477.9398384,1.0004,1.0009,1.000650
1758637481.2473097,1.0006,1.001,1.000800
1758637483.8633444,1.0006,1.001,1.000800
1758637486.5671873,1.0006,1.001,1.000800
1758637512.1003275,1.0004,1.0009,1.000650
1758637514.9301217,1.0003,1.0009,1.000600
1758637517.7431116,1.0003,1.0009,1.000600
1758637520.2258165,1.0003,1.0009,1.000600
1758637523.122861,1.0003,1.0009,1.000600
1758637525.9237847,1.0003,1.0009,1.000600
1758637528.5718906,1.0003,1.0009,1.000600
1758637531.8960912,1.0006,1.001,1.000800
1758637534.5766587,1.0006,1.001,1.000800
1758637537.4039857,1.0006,1.001,1.000800
1758637542.7962515,1.0006,1.001,1.000800
1758637545.4505565,1.0006,1.001,1.000800
1758637548.2732358,1.0006,1.001,1.000800
1758637551.4931495,1.0006,1.001,1.000800
1758637554.2850828,1.0005,1.0009,1.000700
1758637556.8995721,1.0005,1.0009,1.000700
1758637559.5716777,1.0005,1.0009,1.000700
1758637562.2743895,1.0005,1.0009,1.000700
1758637564.985197,1.0006,1.001,1.000800
1758637568.6602242,1.0006,1.001,1.000800
1758637570.7727206,1.0005,1.0009,1.000700
1758637573.4566169,1.0005,1.0009,1.000700
1758637576.7394626,1.0005,1.0009,1.000700
1758637580.2129405,1.0005,1.0009,1.000700
1758637583.478476,1.0005,1.0009,1.000700
1758637595.1836605,1.0006,1.001,1.000800
1758637598.0441628,1.0006,1.001,1.000800
1758637601.1541348,1.0006,1.001,1.000800
1758637607.6214683,1.0006,1.0013,1.000950
1758637610.6492915,1.0006,1.0013,1.000950
1758637614.3659737,1.0009,1.0016,1.001250
1758637617.0753777,1.0009,1.0016,1.001250
1758637620.4167736,1.001,1.0017,1.001350
1758637623.110063,1.001,1.0017,1.001350
1758637627.2432795,1.001,1.0017,1.001350
1758637630.2752836,1.001,1.0017,1.001350
1758637633.0084982,1.001,1.0017,1.001350
1758637635.8071146,1.0013,1.0019,1.001600
1758637638.9538188,1.0013,1.0019,1.001600
1758637642.0872471,1.0013,1.0021,1.001700
1758637644.7765248,1.0013,1.0021,1.001700
1758637648.4925694,1.0013,1.0021,1.001700
1758637651.9569137,1.0017,1.0021,1.001900
1758637655.2882297,1.0017,1.0021,1.001900
1758637658.324769,1.0017,1.0021,1.001900
1758637660.9947724,1.0017,1.0021,1.001900
1758637664.0725868,1.0017,1.0021,1.001900
1758637666.7751772,1.0013,1.0021,1.001700
1758637670.1443424,1.0016,1.0021,1.001850
1758637672.8494523,1.0016,1.0021,1.001850
1758637676.0014646,1.0016,1.0021,1.001850
1758637680.2832546,1.0016,1.0021,1.001850
1758637682.9617186,1.0017,1.0024,1.002050
1758637686.3468025,1.0017,1.0024,1.002050
1758637689.5032988,1.0017,1.0024,1.002050
1758637692.3234022,1.0017,1.0024,1.002050
1758637695.052462,1.0016,1.0021,1.001850
1758637697.7908297,1.0016,1.0021,1.001850
1758637700.6318135,1.0016,1.0021,1.001850
1758637703.4869037,1.0016,1.0021,1.001850
1758637706.265928,1.0017,1.0024,1.002050
1758637709.6364095,1.0017,1.0024,1.002050
1758637712.342739,1.0016,1.0021,1.001850
1758637715.0219567,1.0016,1.0021,1.001850
1758637718.6636539,1.0016,1.0021,1.001850
1758637722.083346,1.0016,1.0021,1.001850
1758637726.14478,1.0017,1.0024,1.002050
1758637728.824654,1.0017,1.0024,1.002050
1758637731.7275195,1.0017,1.0024,1.002050
1758637734.7749598,1.0016,1.0021,1.001850
1758637737.4927907,1.0013,1.0021,1.001700
1758637740.4321952,1.001,1.0017,1.001350
1758637743.2189422,1.001,1.0017,1.001350
1758637745.9050179,1.001,1.0017,1.001350
1758637749.1947215,1.001,1.0017,1.001350
1758637752.2324796,1.0013,1.0021,1.001700
1758637754.9375474,1.0013,1.0021,1.001700
1758637759.3266964,1.0013,1.0021,1.001700
1758637762.3693912,1.001,1.0017,1.001350
1758637765.0473025,1.001,1.0017,1.001350
1758637767.739842,1.0013,1.0021,1.001700
1758637771.1663992,1.0017,1.0021,1.001900
1758637773.8299544,1.0017,1.0021,1.001900
1758637776.4760406,1.0017,1.0021,1.001900
1758637780.2801201,1.0017,1.0021,1.001900
1758637783.1504421,1.0017,1.0021,1.001900
1758637786.3993466,1.0013,1.0021,1.001700
1758637789.52624,1.0013,1.0021,1.001700
1758637792.9689403,1.001,1.0017,1.001350
1758637795.7131026,1.001,1.0017,1.001350
1758637800.3378117,1.001,1.0016,1.001300
1758637803.7159374,1.001,1.0016,1.001300
1758637808.1537175,1.001,1.0016,1.001300
1758637812.8547192,1.001,1.0016,1.001300
1758637815.366866,1.001,1.0016,1.001300
1758637817.2805564,1.0009,1.0016,1.001250
1758637820.2475326,1.0016,1.0017,1.001650
1758637823.8698845,1.0016,1.0017,1.001650
1758637827.2873523,1.0016,1.0017,1.001650
1758637830.7994099,1.0016,1.0017,1.001650
1758637834.0959616,1.0016,1.0017,1.001650
1758637836.7539234,1.0016,1.0017,1.001650
1758637840.0890818,1.0016,1.0021,1.001850
1758637843.5986254,1.0016,1.0021,1.001850
1758637847.5421464,1.0016,1.0021,1.001850
1758637850.2579398,1.0017,1.0024,1.002050
1758637853.266692,1.0017,1.0024,1.002050
1758637856.0823808,1.0017,1.0025,1.002100
1758637859.3019385,1.0017,1.0025,1.002100
1758637862.461917,1.0017,1.0021,1.001900
1758637863.716445,1.0017,1.0021,1.001900
1758637865.179092,1.0017,1.0021,1.001900
1758637868.0167477,1.0017,1.0021,1.001900
1758637870.698261,1.0017,1.0025,1.002100
1758637873.4481406,1.0017,1.0025,1.002100
1758637877.4378014,1.0021,1.0026,1.002350
1758637877.7037976,1.0016,1.0021,1.001850
1758637881.0945983,1.0016,1.0021,1.001850
1758637881.7673447,1.0016,1.0021,1.001850
1758637884.1425223,1.0016,1.0021,1.001850
1758637887.284344,1.0016,1.0021,1.001850
1758637890.5698514,1.0013,1.0021,1.001700
1758637893.1361544,1.0013,1.0021,1.001700
1758637895.8201206,1.001,1.0017,1.001350
1758637898.4724288,1.001,1.0017,1.001350
1758637901.8954556,1.001,1.0017,1.001350
1758637904.5884268,1.001,1.0017,1.001350
1758637907.2363343,1.001,1.0017,1.001350
1758637910.5349383,1.001,1.0017,1.001350
1758637914.113687,1.0013,1.0021,1.001700
1758637917.082857,1.0013,1.0021,1.001700
1758637919.7699642,1.001,1.0017,1.001350
1758637923.0267453,1.001,1.0017,1.001350
1758637925.766751,1.001,1.0016,1.001300
1758637928.4750748,1.001,1.0016,1.001300
1758637931.3880239,1.001,1.0016,1.001300
1758637934.6868076,1.001,1.0016,1.001300
1758637937.8828948,1.001,1.0016,1.001300
1758637941.6834471,1.001,1.0016,1.001300
1758637944.3879266,1.0009,1.0016,1.001250
1758637947.0474591,1.0009,1.0013,1.001100
1758637950.9029927,1.0009,1.0013,1.001100
1758637954.0304005,1.0009,1.0016,1.001250
1758637956.70668,1.0009,1.0016,1.001250
1758637960.050679,1.0009,1.0016,1.001250
1758637962.5977073,1.001,1.0017,1.001350
1758637965.3093255,1.001,1.0017,1.001350
1758637968.130885,1.001,1.0017,1.001350
1758637970.8997908,1.0013,1.0017,1.001500
1758637973.933236,1.0013,1.0017,1.001500
